,BATF,BCL6,CEBPA,CEBPB,E2F1,ETS1,FOS,FOXP3,GATA1,GATA3,HIF1A,IRF1,IRF4,IRF8,JUN,LEF1,MYC,NFE2L2,NFKB1,NR3C1,PAX5,PRDM1,RELA,RUNX1,RUNX3,SMAD3,SPI1,STAT1,STAT4,TBX21,TCF7,TP53,disease
P05,0.0653580355830025,0.2913586237318041,0.1821912218791354,0.013794441993824439,0.03898268636965151,0.715262461402735,0.5384583149536831,0.1651985002205558,0.05606572562858403,0.0004866931333627408,0.30718184825760914,1.7404781649757388,0.27632774591971765,2.405069254521394,0.7791427731215997,0.0697412145272754,0.19765880017644466,0.3414272410919963,0.2842134428760476,0.9349478017938538,0.17122408469342743,0.09596272606969562,0.20403108140205625,0.5373262335370849,0.4481658579620643,0.19699823555359505,0.58486791158163,1.2365861112861556,0.07228103710238691,0.36322893692104097,0.31932068813409786,0.23716310101455662,normal
P06,0.03966774425287356,0.09375628591954023,0.05619073275862068,0.006487068965517243,0.006645563936781609,0.3188891882183908,0.14772808908045978,0.07248802681992338,0.02558728448275862,0.0,0.09572422772988505,1.2264956896551724,0.09213182471264367,1.6297629310344828,0.3424419300766284,0.02578903256704981,0.05789825790229884,0.1022860791826309,0.09355109554597701,0.24797413793103448,0.10216355363984676,0.035212823275862074,0.03681145004420867,0.23693349753694584,0.20782255747126438,0.09015804597701149,0.1958632662835249,0.8264383210180624,0.012850415070242658,0.18682614942528736,0.12073204022988504,0.10268947557471264,normal
P06F,0.0349390243902439,0.09346602787456446,0.08021864111498257,0.006409059233449477,0.00933623693379791,0.31537020905923346,0.10229616724738677,0.07172531939605109,0.023305574912891987,0.0,0.0808231707317073,1.212987456445993,0.09099128919860627,1.638398606271777,0.16895063879210223,0.02477700348432056,0.059975609756097566,0.10771931862175764,0.08660518292682927,0.15030662020905924,0.060350174216027876,0.03468379790940766,0.028216027874564457,0.24351717272274762,0.19852543554006968,0.09325348432055747,0.17312040263259776,0.8316948730711796,0.017302748741773136,0.17354285714285714,0.09909337979094077,0.10286933797909407,normal
P07,0.02805420466058764,0.07809118541033434,0.10276215805471124,0.006306382978723403,0.006411474164133738,0.3048183890577508,0.10406003039513677,0.07060891590678826,0.02378206686930091,0.0,0.08929103343465046,1.2963811550151978,0.08010790273556231,1.7870255319148938,0.16479736575481257,0.017738601823708205,0.05719946808510638,0.1039111786558595,0.0765898556231003,0.14189311043566363,0.06338095238095237,0.036656534954407294,0.03492144026186579,0.23271558836300477,0.2084066869300912,0.09778191489361704,0.21764640324214796,0.8338204515848892,0.015578858493752111,0.1909130699088146,0.09344620060790274,0.10401709726443768,normal
P07H,0.021420831311661004,0.06578723920426977,0.06591460456089278,0.004046579330422125,0.007390829694323144,0.33067442988840373,0.09411693352741388,0.054455765809477585,0.017445900048520136,0.0,0.07528202328966521,1.2178165938864627,0.058998059194565744,1.5676943231441047,0.14674187287724408,0.02482775351770985,0.057271955361475016,0.09638417165345842,0.08846282144590002,0.13579168688338994,0.10812874009380559,0.028964095099466278,0.02958011420893517,0.24259166839952867,0.21479864143619604,0.0662518195050946,0.143444929645803,0.803752685936092,0.01731468003665966,0.1774235807860262,0.10162057253760311,0.08249090247452694,normal
P08,0.03295712663259511,0.0984124787052811,0.14083581771720613,0.00506899488926746,0.007040034071550255,0.35773104770017033,0.1608326235093697,0.07649134014764337,0.03653236797274276,0.0004145371947756956,0.09802278534923338,1.259149063032368,0.09561648211243612,1.6397981260647363,0.2636584327086883,0.028418512208972176,0.07130323679727428,0.11090526216165059,0.11573626490630325,0.1961974730266894,0.07285846110164679,0.04366269165247019,0.052542261826759265,0.2759643465563398,0.23978109028960817,0.10575170357751276,0.29604675373840617,0.8932386225358968,0.024172818474351696,0.21417972742759792,0.147442930153322,0.12272891822827939,normal
P08H,0.03240386112408532,0.13578468005604857,0.1119605324614666,0.00642316674451191,0.008257823446987389,0.36931924334423166,0.20927837459131246,0.06747547874824848,0.02094535263895376,0.0,0.0868717888836992,1.2235095749649696,0.10465787015413358,1.7179673049976647,0.27523042192122066,0.023123151175463177,0.06782052779075198,0.0868960506513052,0.09644412657636618,0.21213607348591002,0.10395998754476103,0.036202709014479216,0.05621384687241764,0.26520918129045173,0.22628771602055114,0.0917246613731901,0.18303181275624059,0.8361142990591847,0.023317245316311172,0.20035871088276505,0.14700140121438582,0.10305172816440918,normal
P09,0.05843480934809348,0.1491120848708487,0.14361277675276757,0.01397970479704797,0.018818611623616237,0.42726937269372695,0.2879854704797048,0.10785593480934812,0.09017020295202952,0.0,0.22169338099630992,1.6934298892988928,0.16425968634686347,2.379190959409594,0.4118726937269373,0.0555719557195572,0.1416489852398524,0.2917753177531775,0.13215088791512913,0.5996594403444034,0.15440882533825337,0.07225322878228782,0.12639227930740846,0.330812467053242,0.25953228782287824,0.13618196494464946,0.5525,1.1722308249868214,0.02944188191881919,0.24120940959409598,0.31032656826568267,0.19149561808118082,normal
P09H,0.04758458961474036,0.393089824120603,0.07193592964824119,0.008426130653266332,0.04030119346733668,0.8707820351758794,0.3334566582914573,0.15690452261306534,0.044764321608040204,0.0,0.3087320979899497,1.714961809045226,0.29004020100502514,2.4461030150753773,0.3532759631490787,0.11662060301507539,0.23326947236180898,0.3546608040201005,0.18593168969849244,0.6755904522613064,0.14860678391959797,0.05978831658291457,0.1433347506764592,0.6026600861450108,0.5019246231155778,0.1713787688442211,0.30905723059743156,1.2603363244795407,0.08015494137353434,0.47428844221105526,0.30614773869346734,0.20050502512562815,normal
P13,0.050558927668184116,0.1356980273141123,0.11428047546788063,0.009212948912493676,0.009002908447142133,0.3623343449671219,0.17412999494183104,0.08865874220198955,0.02568740515933232,0.0,0.09622850278199291,1.203128983308042,0.12567653009610522,1.6019534648457256,0.32867307368066095,0.027349519473950437,0.07691072331815883,0.11335300399033328,0.15408921345472934,0.2274801888383072,0.061393525543753165,0.0456398583712696,0.0460172755923894,0.28559361225522073,0.2526555386949924,0.11686393525543753,0.23597931770921146,0.8779564997470916,0.025152026077670992,0.1825402124430956,0.16754577642893273,0.12269537177541731,normal
P13H,0.0312801730152086,0.0890906236919213,0.17930619506069487,0.007225617413143574,0.00853128924236082,0.2882492674759313,0.16003034742570116,0.08454095158364727,0.02851653411469234,0.0,0.11146557136877355,1.1579640016743407,0.08696839681875262,1.7359053997488487,0.25901562718013116,0.021285056508999586,0.07543899120971118,0.10597228035905305,0.09918925282545,0.18640784149574438,0.04788335426259244,0.04804834658853077,0.04743310686801687,0.24429647790468215,0.19934784428631228,0.11382796149016325,0.26838984233291474,0.8501524846020452,0.018856797358262407,0.16975136040184177,0.14754039347007114,0.11122750104646296,normal
P15F,0.0382809642560266,0.10330798004987532,0.18579426433915214,0.009342643391521199,0.008747506234413964,0.3037356608478803,0.1241645885286783,0.0774106400665004,0.027906733167082292,0.0,0.09839152119700748,1.1877665835411473,0.10186658354114714,1.7091192019950125,0.1972418952618454,0.025780548628428924,0.06632418952618455,0.1065375450263231,0.0886733167082294,0.19363507896924356,0.0611055694098088,0.044,0.04763015538077882,0.2439700748129676,0.20411870324189527,0.10514962593516208,0.22116597395400386,0.8421275382971142,0.01656026600166251,0.17057157107231918,0.14930673316708232,0.10777431421446385,normal
P17,0.05465936739659368,0.22149178832116787,0.14392944038929437,0.034433090024330905,0.01392411800486618,0.4829151459854014,0.21282542579075425,0.10803629359286293,0.04606082725060827,0.0,0.19814020681265207,1.336400243309002,0.2183956812652068,1.9579038929440387,0.3455778588807786,0.04398012976480129,0.11657618613138687,0.172308732089754,0.16495513990267638,0.4278132603406326,0.07109184914841848,0.07620742092457422,0.10252011978289349,0.3824513381995134,0.35356447688564474,0.14367244525547446,0.4302338469856718,0.9719912234966979,0.04558664503919979,0.2968759124087591,0.24340632603406326,0.16859108880778587,normal
