TF1,TF2,r,|r|,p
E2F1,LEF1,0.4945802286800905,0.4945802286800905,2.8186363487276933e-05
E2F1,MYC,0.6031222279353871,0.6031222279353871,1.0550415581406438e-07
E2F1,NFE2L2,0.45815912275000037,0.45815912275000037,0.00012416904017748022
E2F1,NFKB1,0.4208094764282538,0.4208094764282538,0.0004822608221303088
E2F1,NR3C1,0.20198254075157407,0.20198254075157407,0.10663228530517768
E2F1,PAX5,0.2900534127613341,0.2900534127613341,0.01909147314393843
E2F1,PRDM1,0.06718733985488215,0.06718733985488215,0.5948833816365875
E2F1,RELA,0.1737096509421631,0.1737096509421631,0.16640001002686766
E2F1,RUNX1,0.5309640352801878,0.5309640352801878,5.360771812697398e-06
E2F1,RUNX3,0.519149638918909,0.519149638918909,9.384628641713194e-06
E2F1,SMAD3,0.20560135106076216,0.20560135106076216,0.10037183890732222
E2F1,SPI1,0.05929612079943903,0.05929612079943903,0.6389281884338794
E2F1,STAT1,0.3818473436725028,0.3818473436725028,0.0016971542324845002
E2F1,STAT4,0.711986634729427,0.711986634729427,2.9414076317626943e-11
E2F1,TBX21,0.34681597796846614,0.34681597796846614,0.004650665035767653
E2F1,TCF7,0.37506687826617696,0.37506687826617696,0.0020808917496420863
E2F1,TP53,0.3192631705085076,0.3192631705085076,0.009534678029423305
ETS1,FOS,0.09820774039811826,0.09820774039811826,0.4363938162813887
ETS1,FOXP3,0.3402147273580776,0.3402147273580776,0.005555644847081949
ETS1,GATA1,0.12913418046315175,0.12913418046315175,0.30526298742006297
ETS1,GATA3,0.23965096878774086,0.23965096878774086,0.05451027051505049
ETS1,HIF1A,0.31577188984894544,0.31577188984894544,0.010396300140908758
ETS1,IRF1,0.5015451710070651,0.5015451710070651,2.081425359722832e-05
ETS1,IRF4,0.6119646165605939,0.6119646165605939,6.087325045647983e-08
ETS1,IRF8,0.45321203143612987,0.45321203143612987,0.00014997447526061535
ETS1,JUN,-0.0677110467433157,0.0677110467433157,0.5920087883732039
ETS1,LEF1,0.5839273018471611,0.5839273018471611,3.2929325773276335e-07
ETS1,MYC,0.4302605695386584,0.4302605695386584,0.0003471525499248045
ETS1,NFE2L2,0.3904334660374627,0.3904334660374627,0.0013028759873219178
ETS1,NFKB1,0.5519425320002062,0.5519425320002062,1.8798172224869143e-06
ETS1,NR3C1,0.16717549563753245,0.16717549563753245,0.18317293757522493
ETS1,PAX5,0.4723778685661233,0.4723778685661233,7.099391788355789e-05
ETS1,PRDM1,-0.11592827217305782,0.11592827217305782,0.35777439585740595
ETS1,RELA,0.1195168859994746,0.1195168859994746,0.3429847916885757
ETS1,RUNX1,0.9667897733348908,0.9667897733348908,4.8773825228688495e-39
ETS1,RUNX3,0.9592865381294171,0.9592865381294171,2.6659645557037836e-36
ETS1,SMAD3,0.07003445518655749,0.07003445518655749,0.5793314799674228
ETS1,SPI1,-0.0937460779152002,0.0937460779152002,0.4576160950074749
ETS1,STAT1,0.5485814521383129,0.5485814521383129,2.234164577550467e-06
ETS1,STAT4,0.7993313222549953,0.7993313222549953,1.4395539028305078e-15
ETS1,TBX21,0.9502213669057271,0.9502213669057271,1.3076839087207643e-33
ETS1,TCF7,0.20156346695740682,0.20156346695740682,0.10737636237390603
ETS1,TP53,0.19992232530035128,0.19992232530035128,0.11032894362396448
FOS,FOXP3,0.4743224416690791,0.4743224416690791,6.56415059156646e-05
FOS,GATA1,0.0860750079649636,0.0860750079649636,0.49539023103509416
FOS,GATA3,0.22541590321113764,0.22541590321113764,0.07101016673773468
FOS,HIF1A,0.48435992453185595,0.48435992453185595,4.34665557127108e-05
FOS,IRF1,0.43529652669730423,0.43529652669730423,0.0002902252989865628
FOS,IRF4,0.37633592910539415,0.37633592910539415,0.0020036524238184086
FOS,IRF8,0.36008906878513447,0.36008906878513447,0.0032157330212589158
FOS,JUN,0.8820447556331962,0.8820447556331962,2.9047313397070095e-22
FOS,LEF1,0.23875617946821953,0.23875617946821953,0.055445998072571154
FOS,MYC,0.5566679293518495,0.5566679293518495,1.469875039628538e-06
FOS,NFE2L2,0.5820098330006993,0.5820098330006993,3.674743963189775e-07
